"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,6463285,3367828,867121,2500707
12,8742104,4821195,934321,3886874
13,11000808,5276765,1131565,4145200
14,13167850,6658989,1204115,5454874
15,13685473,6437752,1349733,5088019
16,14104211,6679147,1454429,5224718
17,14520471,6141910,1610080,4531830
18,15630253,6859940,1734064,5125876
19,17227681,7959422,1860566,6098856
20,17686152,8263982,1974136,6289846
21,18536384,8433785,2177772,6256013
22,19072665,8803073,2260086,6542987
23,20417071,9448459,2385702,7062757
24,21168894,10027976,2499608,7528368
25,21849085,10552443,2595011,7957432
26,23002030,11557029,2756030,8800999
27,24036478,12438308,2918966,9519342
28,24486378,11563202,3209122,8354080
29,24941655,11872379,3387546,8484833
30,25460791,10858500,3546214,7312286
31,28397929,13686285,3717518,9968767
32,28718871,13901813,3859668,10042145
33,29102742,14191864,4012891,10178973
34,29455665,13585015,4168825,9416190
35,30864518,14875356,4287657,10587699
36,31289040,15180084,4418800,10761284
37,33140020,15742516,4550745,11191771
38,36141548,17593337,4736752,12856585
39,39243028,19024563,4985764,14038799
40,39704525,18749474,5187168,13562306
41,40144657,18734033,5348202,13385831
42,41178775,19592802,5503291,14089511
43,41726670,19673812,5671835,14001977
44,42645680,19847899,5868649,13979250
45,43783261,20871515,6013023,14858492
46,44974173,20432353,6238565,14193788
47,46209477,21033781,6385850,14647931
48,49381607,23494606,6548072,16946534
49,50231970,23067821,6844069,16223752
50,50662991,23375923,7066821,16309102
51,51861459,24417124,7262021,17155103
52,53029256,25240358,7425417,17814941
53,53569246,24810547,7784821,17025726
54,55203098,25928833,8055090,17873743
55,58774773,28794912,8221143,20573769
56,61329185,29830748,8428603,21402145
57,64667313,30740772,8686784,22053988
58,69146608,33855463,8894349,24961114
59,69700828,34238711,9070581,25168130
60,71564366,35798202,9308394,26489808
61,72119180,35904525,9518445,26386080
62,73216150,36840259,9733613,27106646
63,73754238,36440382,9961217,26479165
64,75382432,37892646,10095289,27797357
65,75911965,37710985,10284844,27426141
66,76496353,38138988,10504483,27634505
67,77613706,38414433,10782913,27631520
68,78098989,37762991,10980385,26782606
69,78530291,38061106,11151315,26909791
70,78969065,38374044,11290695,27083349
71,80507250,39530354,11485551,28044803
72,80956323,39801593,11677073,28124520
73,82238500,40574306,11850010,28724296
74,82945638,40800803,12114215,28686588
75,83444867,39725676,12374524,27351152
76,84283201,40429879,12544769,27885110
77,85989319,42004255,12810584,29193671
78,88300613,43285849,13024553,30261296
79,91010305,43895437,13304520,30590917
80,93963992,46073712,13471887,32601825
81,96990687,47925870,13651776,34274094
82,101275128,50332214,13844249,36487965
83,102777033,49829335,14062882,35766453
84,104209524,50087038,14303317,35783721
85,107882164,53578539,14447744,39130795
86,108506476,54021843,14603144,39418699
87,109109702,54165018,14803201,39361817
88,109768837,54210666,15004206,39206460
89,111055017,54696448,15207597,39488851
90,112203526,55724873,15575266,40149607